variant,model_type,MAE,MAE,RMSE,RMSE,SMAPE,SMAPE
,,mean,std,mean,std,mean,std
A0,quantile(q50),2301618.125,29944.027639602024,3037875.0,160694.61221872063,1.0909772515296936,0.014868312336582132
A1,quantile(q50),10019483.5,1906530.294813198,12597696.5,2226569.652405354,1.672400951385498,0.025978643072538908
A2,quantile(q50),9331855.25,2797755.307452052,12213825.5,3357932.017022456,1.4431970119476318,0.032771872115524806
