seed,variant,model_type,MAE,RMSE,SMAPE,save_root
11,A0,quantile(q50),2280444.5,2924246.75,1.0804637670516968,C:/Users/USER/PycharmProjects/ts_forecaster_lib/raw_data/fit\walmart_titan_ab\A0_y_only\seed_11
11,A1,quantile(q50),8671363.0,11023274.0,1.6540312767028809,C:/Users/USER/PycharmProjects/ts_forecaster_lib/raw_data/fit\walmart_titan_ab\A1_time_exog\seed_11
11,A2,quantile(q50),11310167.0,14588242.0,1.4663702249526978,C:/Users/USER/PycharmProjects/ts_forecaster_lib/raw_data/fit\walmart_titan_ab\A2_time_holiday\seed_11
11,A0,quantile(q50),2322791.75,3151503.25,1.1014907360076904,C:/Users/USER/PycharmProjects/ts_forecaster_lib/raw_data/fit\walmart_titan_ab\A0_y_only\seed_11
11,A1,quantile(q50),11367604.0,14172119.0,1.6907706260681152,C:/Users/USER/PycharmProjects/ts_forecaster_lib/raw_data/fit\walmart_titan_ab\A1_time_exog\seed_11
11,A2,quantile(q50),7353543.5,9839409.0,1.420023798942566,C:/Users/USER/PycharmProjects/ts_forecaster_lib/raw_data/fit\walmart_titan_ab\A2_time_holiday\seed_11
