mode,seed,pretrain_epochs,supervised_epochs,pretrain_best_epoch,supervised_best_epoch,supervised_best_validation_loss,mae,wape_pct,smape_pct,training_seconds,training_peak_delta_mib,inference_seconds,evaluation_peak_delta_mib,checkpoint_sha256
sl_only,11,0,40,,14,8.731727600097656,8.718398632182206,51.356401794800696,138.67210610132034,93.74768020602642,848.0,0.3179608740028925,724.0,9de3ccc8bd58b2ed0396042585b7f4344341eb8f4a798225d6ae728d3eb84480
full,11,12,40,9,15,9.746487208775111,9.736464897215365,57.35339990954375,138.72196908777775,117.77385167498142,882.0,0.30990722199203447,724.0,2f0d69186fb88eeb9847be0347d392f24afe75970efbf97a034d97bd001606cc
full,22,12,40,9,31,9.685004098074776,9.700886814628156,57.14382446094098,138.51896484721377,120.6989000250469,882.0,0.31167844304582104,724.0,4b1555fac7bd75d2de9196a1d0b2e49fbc8112aa056fbcb28f201581eb3908be
sl_only,22,0,40,,23,8.020154135567802,8.038178835288067,47.34951444405229,138.53591289193375,96.89516675902996,848.0,0.31284191994927824,724.0,ba11e2de89a04c2a6e30c31d2caa12dbded5196fa22d496c4a41def49a30299b
sl_only,33,0,40,,1,10.094754900251116,10.102835709694313,59.51153553115927,139.63203381478164,95.82786312198732,848.0,0.3200937620131299,724.0,ddca77eee70292458249d3e12679dd09a7d35c2c2f4a5211e42fb20db2022ea0
full,33,12,40,9,5,10.169400896344866,10.188742999913286,60.017579071919435,139.32031777569884,118.82950799702667,882.0,0.31591400201432407,724.0,5a480c3178374f584c4f0f95e85445a17b3bd3f9087b160dc4d246e4e14ad91b
