seed,variant,model_type,MAE,RMSE,SMAPE,save_root
22,A0,point,53852.60546875,95862.4765625,0.043648239225149155,C:/Users/USER/PycharmProjects/ts_forecaster_lib/raw_data/fit\walmart_patchtst_ab\A0_y_only\seed_22
22,A1,point,60852.4375,106360.0859375,0.04815177991986275,C:/Users/USER/PycharmProjects/ts_forecaster_lib/raw_data/fit\walmart_patchtst_ab\A1_time_exog\seed_22
22,A2,point,61337.26953125,106275.2265625,0.04840274527668953,C:/Users/USER/PycharmProjects/ts_forecaster_lib/raw_data/fit\walmart_patchtst_ab\A2_time_holiday\seed_22
22,A0,quantile(q50),60927.41796875,114668.9609375,0.048189133405685425,C:/Users/USER/PycharmProjects/ts_forecaster_lib/raw_data/fit\walmart_patchtst_ab\A0_y_only\seed_22
22,A1,quantile(q50),76590.171875,134142.578125,0.05904080718755722,C:/Users/USER/PycharmProjects/ts_forecaster_lib/raw_data/fit\walmart_patchtst_ab\A1_time_exog\seed_22
22,A2,quantile(q50),77936.34375,135296.84375,0.059979766607284546,C:/Users/USER/PycharmProjects/ts_forecaster_lib/raw_data/fit\walmart_patchtst_ab\A2_time_holiday\seed_22
