variant,model_type,MAE,MAE,RMSE,RMSE,SMAPE,SMAPE
,,mean,std,mean,std,mean,std
A0,point,53852.60546875,,95862.4765625,,0.043648239225149155,
A0,quantile(q50),60927.41796875,,114668.9609375,,0.048189133405685425,
A1,point,60852.4375,,106360.0859375,,0.04815177991986275,
A1,quantile(q50),76590.171875,,134142.578125,,0.05904080718755722,
A2,point,61337.26953125,,106275.2265625,,0.04840274527668953,
A2,quantile(q50),77936.34375,,135296.84375,,0.059979766607284546,
